"Aylik_Yas","raw","norm","percentile"
73,"91",44.58,29.4
73,"90",45.01,30.9
73,"89",45.44,32.4
73,"88",45.86,34
73,"87",46.3,35.6
73,"86",46.73,37.2
73,"85",47.17,38.8
73,"84",47.61,40.5
73,"83",48.05,42.3
73,"82",48.5,44
73,"81",48.95,45.8
73,"80",49.41,47.6
73,"79",49.87,49.5
73,"78",50.34,51.4
73,"77",50.81,53.2
73,"76",51.29,55.2
73,"75",51.78,57.1
73,"74",52.28,59
73,"73",52.78,61
73,"72",53.3,62.9
73,"71",53.82,64.9
73,"70",54.36,66.9
73,"69",54.9,68.8
73,"68",55.46,70.8
73,"67",56.04,72.7
73,"66",56.62,74.6
73,"65",57.23,76.5
73,"64",57.85,78.4
73,"63",58.49,80.2
73,"62",59.15,82
73,"61",59.84,83.7
73,"60",60.55,85.4
73,"59",61.28,87
73,"58",62.05,88.6
73,"57",62.85,90.1
73,"56",63.68,91.4
73,"55",64.55,92.7
73,"54",65.45,93.9
73,"53",66.4,95
73,"52",67.38,95.9
73,"51",68.4,96.7
73,"50 - 47",69.45,97.4
74,"138 - 114",31.32,3.1
74,"113",32.29,3.8
74,"112",33.1,4.6
74,"111",33.83,5.3
74,"110",34.49,6.1
74,"109",35.12,6.8
74,"108",35.71,7.6
74,"107",36.27,8.5
74,"106",36.81,9.4
74,"105",37.33,10.3
74,"104",37.84,11.2
74,"103",38.34,12.2
74,"102",38.82,13.2
74,"101",39.3,14.2
74,"100",39.77,15.3
74,"99",40.24,16.4
74,"98",40.7,17.6
74,"97",41.15,18.8
74,"96",41.6,20.1
74,"95",42.05,21.3
74,"94",42.5,22.7
74,"93",42.94,24
74,"92",43.38,25.4
74,"91",43.83,26.8
74,"90",44.27,28.3
74,"89",44.71,29.8
74,"88",45.15,31.4
74,"87",45.6,33
74,"86",46.05,34.6
74,"85",46.49,36.3
74,"84",46.95,38
74,"83",47.4,39.7
74,"82",47.86,41.5
74,"81",48.32,43.3
74,"80",48.79,45.2
74,"79",49.26,47
74,"78",49.74,48.9
74,"77",50.22,50.9
74,"76",50.71,52.8
74,"75",51.21,54.8
74,"74",51.72,56.8
74,"73",52.23,58.8
74,"72",52.76,60.9
74,"71",53.3,62.9
74,"70",53.85,65
74,"69",54.41,67
74,"68",54.98,69.1
74,"67",55.58,71.1
74,"66",56.19,73.2
74,"65",56.82,75.2
74,"64",57.47,77.2
74,"63",58.14,79.2
74,"62",58.84,81.2
74,"61",59.57,83.1
74,"60",60.33,84.9
74,"59",61.12,86.7
74,"58",61.95,88.4
74,"57",62.82,90
74,"56",63.74,91.5
74,"55",64.71,92.9
74,"54",65.72,94.2
74,"53",66.77,95.3
74,"52",67.87,96.3
74,"51 - 47",68.98,97.1
