"Aylik_Yas","raw","norm","percentile"
77,"83",39.04,13.7
77,"82",39.67,15.1
77,"81",40.3,16.6
77,"80",40.92,18.2
77,"79",41.54,19.9
77,"78",42.16,21.7
77,"77",42.78,23.5
77,"76",43.41,25.5
77,"75",44.04,27.5
77,"74",44.67,29.7
77,"73",45.31,32
77,"72",45.96,34.3
77,"71",46.62,36.8
77,"70",47.3,39.3
77,"69",47.98,42
77,"68",48.68,44.8
77,"67",49.4,47.6
77,"66",50.14,50.5
77,"65",50.9,53.6
77,"64",51.68,56.7
77,"63",52.5,59.9
77,"62",53.34,63.1
77,"61",54.23,66.4
77,"60",55.15,69.7
77,"59",56.13,73
77,"58",57.15,76.3
77,"57",58.24,79.5
77,"56",59.38,82.6
77,"55",60.6,85.5
77,"54",61.87,88.2
77,"53",63.2,90.7
77,"52",64.56,92.7
77,"51",65.93,94.4
77,"50",67.26,95.8
77,"49",68.52,96.8
77,"48 - 35",69.71,97.6
78,"100 - 94",30.66,2.7
78,"93",31.63,3.3
78,"92",32.5,4
78,"91",33.3,4.7
78,"90",34.04,5.5
78,"89",34.75,6.4
78,"88",35.44,7.3
78,"87",36.1,8.2
78,"86",36.75,9.3
78,"85",37.38,10.3
78,"84",38,11.5
78,"83",38.62,12.8
78,"82",39.23,14.1
78,"81",39.84,15.5
78,"80",40.45,17
78,"79",41.05,18.5
78,"78",41.66,20.2
78,"77",42.27,22
78,"76",42.89,23.8
78,"75",43.51,25.8
78,"74",44.14,27.9
78,"73",44.77,30.1
78,"72",45.42,32.3
78,"71",46.08,34.7
78,"70",46.75,37.3
78,"69",47.44,39.9
78,"68",48.14,42.6
78,"67",48.87,45.5
78,"66",49.62,48.5
78,"65",50.39,51.6
78,"64",51.2,54.8
78,"63",52.03,58.1
78,"62",52.91,61.5
78,"61",53.83,64.9
78,"60",54.8,68.4
78,"59",55.82,72
78,"58",56.9,75.5
78,"57",58.04,78.9
78,"56",59.24,82.2
78,"55",60.49,85.3
78,"54",61.78,88.1
78,"53",63.08,90.4
78,"52",64.35,92.4
78,"51",65.58,94
78,"50",66.73,95.3
78,"49",67.8,96.2
78,"48",68.78,97
78,"47 - 35",69.69,97.6
79,"100 - 94",30.82,2.8
79,"93",31.65,3.3
79,"92",32.42,3.9
79,"91",33.14,4.6
79,"90",33.82,5.3
79,"89",34.48,6
79,"88",35.12,6.8
79,"87",35.75,7.7
79,"86",36.36,8.6
79,"85",36.96,9.6
79,"84",37.56,10.7
79,"83",38.15,11.8
79,"82",38.74,13
79,"81",39.33,14.3
79,"80",39.92,15.7
79,"79",40.51,17.1
79,"78",41.1,18.7
79,"77",41.7,20.3
79,"76",42.3,22.1
79,"75",42.92,23.9
79,"74",43.54,25.9
79,"73",44.17,28
79,"72",44.81,30.2
79,"71",45.47,32.5
79,"70",46.15,35
79,"69",46.84,37.6
79,"68",47.55,40.3
79,"67",48.29,43.2
79,"66",49.06,46.2
79,"65",49.85,49.4
79,"64",50.68,52.7
79,"63",51.55,56.2
79,"62",52.47,59.8
79,"61",53.43,63.4
79,"60",54.45,67.2
79,"59",55.53,71
79,"58",56.67,74.8
79,"57",57.86,78.4
79,"56",59.09,81.8
79,"55",60.35,85
79,"54",61.59,87.7
79,"53",62.8,90
79,"52",63.94,91.8
79,"51",65,93.3
79,"50",65.98,94.5
79,"49",66.88,95.4
79,"48",67.71,96.2
79,"47",68.47,96.8
79,"46",69.17,97.2
79,"45 - 35",69.83,97.6
80,"100 - 95",30.3,2.4
80,"94",31.03,2.9
80,"93",31.72,3.4
80,"92",32.38,3.9
80,"91",33.01,4.5
80,"90",33.62,5.1
80,"89",34.22,5.7
80,"88",34.81,6.4
80,"87",35.38,7.2
